PLMN;SYSTEM;XCI;xNBID;LOCAL_CID;LAC/TAC;PCI/PSC/BSIC;ARFCN;BAND;RSSI;RSRP/RSCP;RSRQ/ECIO;SNR;CQI;TA;DISTANCE;DELTA_AZI;LAT;LON;SPEED;GPS_ACCURACY;UL;DL;BANDWIDTH;BANDWIDTHS;CA;NR_STATE;NARFCN;NR_BAND;NR_PCI;NR_SS_RSRP;NR_SS_RSRQ;NR_SS_SINR;NR_CSI_RSRP;NR_CSI_RSRQ;NR_CSI_SINR;CLF_LABEL;CLF_LOC;CLF_DESC;DATE;TIME;ROAMING
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-61;-88;-12;1.5;;2;;;4.707734;-74.110202;6;15;53;184;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:33;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-59;-91;-13;1.5;;2;;;4.707601;-74.110067;20;5;0;0;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:35;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-61;-95;-16;1.5;;2;;;4.707485;-74.109941;23;5;43;137;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:38;HOME
732360;4;3288073;12844;9;2719;176;2950;2600 B7;-65;-96;-14;1.5;;4;;;4.707391;-74.109840;24;5;0;0;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:40;HOME
732360;4;3288073;12844;9;2719;176;2950;2600 B7;-71;-99;-13;1.5;;4;;;4.707300;-74.109744;27;4;0;0;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:42;HOME
732360;4;3288073;12844;9;2719;176;2950;2600 B7;-65;-100;-15;-0.1;;4;;;4.707206;-74.109635;28;4;7;8;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:44;HOME
732360;4;3288073;12844;9;2719;176;2950;2600 B7;-69;-97;-12;-0.1;;4;;;4.707115;-74.109533;27;4;53;193;10000;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:46;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-67;-98;-14;-0.1;;3;;;4.707031;-74.109434;25;4;222;4205;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:48;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-63;-93;-13;0.6;;3;;;4.706950;-74.109338;24;4;2;25;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:50;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-65;-96;-15;0.6;;3;;;4.706879;-74.109251;22;4;5;3;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:52;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-65;-96;-13;0.6;;3;;;4.706812;-74.109167;22;4;0;0;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:54;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-65;-93;-12;0.6;;3;;;4.706748;-74.109086;20;4;1;5;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:56;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-59;-93;-13;0.6;;3;;;4.706690;-74.109009;20;4;5;7;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:14:58;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-61;-93;-13;0.6;;3;;;4.706634;-74.108933;19;4;92;3656;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:00;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-63;-93;-10;0.6;;3;;;4.706575;-74.108856;18;4;86;509;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:02;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-67;-96;-13;0.6;;3;;;4.706517;-74.108766;22;4;305;838;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:04;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-63;-95;-14;0.6;;3;;;4.706455;-74.108674;22;4;323;1861;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:06;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-69;-99;-13;0.6;;3;;;4.706397;-74.108578;23;4;17;13;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:08;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-63;-92;-11;0.6;;4;;;4.706337;-74.108480;23;4;0;0;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:10;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-61;-89;-11;0.6;;4;;;4.706269;-74.108371;26;4;0;0;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:12;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-61;-95;-12;0.6;;4;;;4.706198;-74.108259;26;4;0;0;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:14;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-71;-101;-15;0.6;;4;;;4.706136;-74.108153;24;4;0;0;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:16;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-73;-102;-12;0.6;;4;;;4.706080;-74.108037;27;4;44;19;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:18;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-73;-101;-11;0.6;;4;;;4.706012;-74.107906;30;4;38;97;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:20;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-75;-104;-12;0.6;;4;;;4.705943;-74.107763;32;4;0;0;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:22;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-71;-100;-11;0.6;;4;;;4.705873;-74.107620;31;4;58;8072;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:24;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-73;-105;-16;0.6;;4;;;4.705808;-74.107484;30;4;136;17544;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:26;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-75;-108;-15;0.6;;5;;;4.705745;-74.107353;31;4;154;20069;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:28;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-69;-102;-15;1.4;;5;;;4.705683;-74.107216;30;4;118;18562;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:30;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-67;-101;-14;1.4;;5;;;4.705616;-74.107085;29;4;172;11861;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:32;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-65;-100;-15;1.4;;5;;;4.705555;-74.106959;27;4;148;13912;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:34;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-69;-105;-16;1.4;;5;;;4.705500;-74.106846;24;4;23;5562;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:36;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-69;-104;-16;1.4;;5;;;4.705450;-74.106746;22;4;12;5659;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:38;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-69;-105;-17;1.4;;5;;;4.705405;-74.106652;20;4;4;1969;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:40;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-71;-105;-17;1.4;;5;;;4.705365;-74.106566;19;4;67;1899;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:42;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-71;-106;-18;1.4;;5;;;4.705322;-74.106461;10;4;111;4500;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:46;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-69;-105;-15;1.4;;5;;;4.705279;-74.106366;10;4;65;3758;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:50;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-69;-107;-19;1.4;;5;;;4.705229;-74.106265;12;4;83;8601;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:54;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-61;-93;-12;1.4;;;;;4.705180;-74.106154;19;4;108;4263;10000;10;1;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:57;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-73;-105;-15;1.4;;2;;;4.705140;-74.106051;21;4;113;5377;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:15:59;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-63;-91;-13;1.4;;1;;;4.705088;-74.105947;24;4;130;6828;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:01;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-69;-101;-16;1.4;;1;;;4.705022;-74.105838;25;4;225;10687;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:03;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-67;-101;-16;0.4;;1;;;4.704966;-74.105726;25;4;153;5760;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:05;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-69;-106;-18;0.4;;2;;;4.704911;-74.105608;25;4;140;4848;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:07;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-69;-106;-18;0.4;;2;;;4.704858;-74.105494;26;4;104;3768;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:09;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-69;-106;-18;0.4;;2;;;4.704804;-74.105380;25;4;99;2463;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:11;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-71;-106;-17;0.4;;2;;;4.704756;-74.105271;23;4;56;1507;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:13;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-71;-105;-18;0.4;;2;;;4.704711;-74.105173;22;4;93;4626;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:15;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-69;-106;-18;0.4;;2;;;4.704665;-74.105073;23;4;113;5895;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:17;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-71;-106;-16;0.0;;2;;;4.704617;-74.104967;23;4;131;6558;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:19;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-71;-106;-16;0.0;;2;;;4.704569;-74.104859;24;4;129;6693;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:21;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-71;-106;-17;0.0;;1;;;4.704518;-74.104737;27;4;220;9799;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:23;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-71;-102;-15;0.0;;1;;;4.704461;-74.104602;29;4;250;12881;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:25;HOME
732360;4;2997769;11710;9;2719;388;2950;2600 B7;-61;-95;-14;0.0;;1;;;4.704399;-74.104462;30;4;754;37440;10000;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/04/28;07:16:27;HOME
