PLMN;SYSTEM;XCI;xNBID;LOCAL_CID;LAC/TAC;PCI/PSC/BSIC;ARFCN;BAND;RSSI;RSRP/RSCP;RSRQ/ECIO;SNR;CQI;TA;DISTANCE;DELTA_AZI;LAT;LON;SPEED;GPS_ACCURACY;UL;DL;BANDWIDTH;BANDWIDTHS;CA;NR_STATE;NARFCN;NR_BAND;NR_PCI;NR_SS_RSRP;NR_SS_RSRQ;NR_SS_SINR;NR_CSI_RSRP;NR_CSI_RSRQ;NR_CSI_SINR;CLF_LABEL;CLF_LOC;CLF_DESC;DATE;TIME;ROAMING
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-89;-101;-13;0.9;;7;;;4.706433;-74.109097;0;23;0;0;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:36:23;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-89;-98;-10;0.9;;7;;;4.706708;-74.109396;25;23;0;0;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:36:26;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-89;-98;-10;0.9;;7;;;4.706952;-74.109402;76;6;0;0;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:36:27;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-89;-98;-10;0.5;;7;;;4.706822;-74.109369;1;6;1;0;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:36:28;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-91;-99;-9;0.5;;7;;;4.706689;-74.109338;1;6;0;0;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:36:29;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-89;-100;-11;0.5;;7;;;4.706601;-74.109214;1;6;26;14;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:36:32;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-89;-96;-9;1.0;;7;;;4.706677;-74.109015;1;7;0;0;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:36:34;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-85;-96;-11;1.0;;7;;;4.706642;-74.108925;3;4;0;0;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:36:57;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-87;-96;-9;1.1;;7;;;4.706580;-74.108856;7;4;0;0;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:37:00;HOME
732360;4;3085320;12052;8;2719;346;2950;2600 B7;-85;-97;-12;1.1;;7;;;4.706527;-74.108778;11;4;0;0;;10,10;2;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/11;08:37:02;HOME
