PLMN;SYSTEM;XCI;xNBID;LOCAL_CID;LAC/TAC;PCI/PSC/BSIC;ARFCN;BAND;RSSI;RSRP/RSCP;RSRQ/ECIO;SNR;CQI;TA;DISTANCE;DELTA_AZI;LAT;LON;SPEED;GPS_ACCURACY;UL;DL;BANDWIDTH;BANDWIDTHS;CA;NR_STATE;NARFCN;NR_BAND;NR_PCI;NR_SS_RSRP;NR_SS_RSRQ;NR_SS_SINR;NR_CSI_RSRP;NR_CSI_RSRQ;NR_CSI_SINR;CLF_LABEL;CLF_LOC;CLF_DESC;DATE;TIME;ROAMING
732130;4;3546625;13854;1;717;80;2050;2100 B4;-71;-103;-12;-0.1;;0;;;4.709063;-74.111477;1;4;7;21;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:26:50;HOME
732130;4;3546625;13854;1;717;80;2050;2100 B4;-67;-98;-15;-0.5;;0;;;4.708996;-74.111405;11;5;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:26:58;HOME
732130;4;3546625;13854;1;717;80;2050;2100 B4;-63;-98;-17;-0.4;;0;;;4.708924;-74.111332;11;5;53;263;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:02;HOME
732130;4;3546625;13854;1;717;80;2050;2100 B4;-61;-97;-20;-0.5;;0;;;4.708850;-74.111263;8;4;47;4;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:06;HOME
732130;4;3085314;12052;2;717;150;2050;2100 B4;-63;-101;-16;-0.2;;1;;;4.708789;-74.111194;1;4;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:13;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-55;-84;-13;0.2;;1;;;4.708696;-74.111129;17;4;1;1;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:40;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-53;-83;-10;0.2;;1;;;4.708615;-74.111037;19;4;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:42;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-55;-84;-11;0.2;;1;;;4.708540;-74.110941;20;5;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:44;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-55;-85;-11;0.2;;2;;;4.708467;-74.110864;22;5;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:46;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-57;-84;-11;0.2;;2;;;4.708386;-74.110783;20;5;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:48;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-55;-83;-10;0.2;;1;;;4.708308;-74.110702;23;5;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:50;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-59;-88;-11;0.2;;2;;;4.708229;-74.110603;16;6;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:53;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-59;-86;-11;0.2;;2;;;4.708157;-74.110531;15;7;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:27:56;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-59;-87;-11;0.2;;2;;;4.708073;-74.110472;8;7;27;33;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:28:00;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-59;-88;-10;0.2;;2;;;4.708001;-74.110416;8;6;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:28:04;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-59;-88;-10;0.2;;2;;;4.707920;-74.110344;10;6;8;2;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:28:09;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-59;-87;-11;0.7;;2;;;4.707848;-74.110277;14;10;180;1062;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:28:13;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-59;-88;-12;0.7;;2;;;4.707775;-74.110200;18;11;4;22;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:28:15;HOME
732360;4;3085317;12052;5;2719;351;9460;700 B28;-57;-87;-12;0.7;;2;;;4.707682;-74.110102;21;11;0;0;;;0;none;;;;;;;;;;--;--;No se encuentra la celda en la base de datos del CLF.;2022/05/19;08:28:18;HOME
